0,0,1,1,0,0,0,0,1,1,1,1,1,1,0,0,sheet100_train_a.csv
0,0,1,1,0,0,0,0,1,1,1,1,1,1,0,0,sheet100_train_b.csv
0,0,1,1,0,0,0,0,1,1,1,1,1,1,0,1,sheet100_train_c.csv
1,0,0,1,0,0,0,1,1,1,1,1,0,0,1,1,sheet101_train_a.csv
1,0,0,1,0,0,0,0,1,1,1,1,0,0,1,1,sheet101_train_b.csv
1,0,0,1,0,0,0,1,1,1,1,1,0,0,1,1,sheet101_train_c.csv
0,1,1,0,0,0,0,1,1,1,1,1,0,1,1,1,sheet102_train_a.csv
1,1,0,0,0,0,0,1,1,1,1,1,0,1,1,1,sheet102_train_b.csv
1,1,0,0,0,0,0,1,1,1,1,1,0,1,1,1,sheet102_train_c.csv
1,1,0,0,0,0,0,1,1,1,1,1,0,1,1,1,sheet103_train_a.csv
1,1,0,0,0,0,0,1,1,1,1,1,0,1,1,1,sheet103_train_b.csv
1,1,0,0,0,0,0,1,1,1,1,1,0,1,1,1,sheet103_train_c.csv
0,0,1,1,0,0,0,1,1,1,1,1,0,1,1,1,sheet104_train_a.csv
0,0,1,1,0,0,0,1,1,1,1,1,0,1,1,1,sheet104_train_b.csv
0,0,1,1,0,0,0,1,1,1,1,1,0,1,1,1,sheet104_train_c.csv
0,1,1,0,0,0,0,0,1,1,1,1,0,1,0,0,sheet105_train_a.csv
0,1,1,0,0,0,0,0,1,1,1,1,0,1,0,0,sheet105_train_b.csv
0,1,1,0,0,0,0,0,1,1,1,1,0,1,0,1,sheet105_train_c.csv
0,0,1,1,0,0,0,0,1,1,1,1,0,1,0,1,sheet106_train_a.csv
0,0,1,1,0,0,0,0,1,1,1,1,0,1,0,1,sheet106_train_b.csv
0,0,1,1,0,0,0,0,1,1,1,1,0,1,0,1,sheet106_train_c.csv
1,1,0,0,0,0,0,0,1,1,1,1,0,0,0,1,sheet107_train_a.csv
1,1,0,0,0,0,0,0,1,1,1,1,0,0,0,0,sheet107_train_b.csv
1,1,0,0,0,0,0,0,1,1,1,1,0,0,0,0,sheet107_train_c.csv
0,0,1,1,0,0,0,0,1,1,1,1,0,1,0,1,sheet108_train_a.csv
0,1,1,0,0,0,0,0,1,1,1,1,0,1,0,1,sheet108_train_b.csv
0,1,1,0,0,0,0,0,1,1,1,1,0,1,0,1,sheet108_train_c.csv
1,1,0,0,0,0,0,1,1,1,1,1,0,1,1,1,sheet109_train_a.csv
1,1,0,0,0,0,0,1,1,1,1,1,0,1,1,1,sheet109_train_b.csv
1,1,0,0,0,0,0,1,1,1,1,1,0,0,1,1,sheet109_train_c.csv
1,0,0,1,1,1,1,0,0,0,0,1,1,1,0,0,sheet10_train_a.csv
1,0,0,1,1,1,1,0,0,0,0,1,1,0,0,0,sheet10_train_b.csv
1,0,0,1,1,1,1,0,0,0,0,1,1,0,0,0,sheet10_train_c.csv
1,1,0,0,0,0,0,0,1,1,1,1,0,0,0,0,sheet110_train_a.csv
0,0,1,0,0,0,0,0,1,1,1,1,0,0,0,0,sheet110_train_b.csv
1,1,0,0,0,0,0,0,1,1,1,1,0,0,0,0,sheet110_train_c.csv
0,0,1,1,0,0,0,0,1,1,1,1,0,0,0,0,sheet111_train_a.csv
0,0,1,1,0,0,0,0,1,1,1,1,0,0,0,0,sheet111_train_b.csv
0,1,1,0,0,0,0,0,1,1,1,1,0,0,0,0,sheet111_train_c.csv
1,0,0,1,0,0,0,0,1,1,1,1,0,0,0,0,sheet112_train_a.csv
1,0,0,1,0,0,0,0,1,1,1,1,0,0,0,0,sheet112_train_b.csv
